vendor,price,cat1,cat2,cat3,title
simon-labond,4.396055,Drugs,Stimulants,Cocaine,'1 Kilogram Fishscale Peruvian Cocaine Full Brick SUPER Sale Price'
chemical_usa,0.838391,Drugs,Opiates,Fentanyl,'Custom jarez'
white-house,0.004776,Drugs,Stimulants,Crack,'0,5 gr. uncut Raw Crack Cocaine Freebase Peruvian'
theshop,0.000208,,Other products,Digital items,'♕ Make $100 per Day Using Instagram ♕'
pol1,0.124418,Drugs,Stimulants,Amphetamine,'4-MPD 4-MEAP ★ shipping from EU★ 500 grams'
idealpills,0.092899,Drugs,Pharmacy,Benzos,'950x Xanax 1 MG Pills (Loose)'
redface33,0.22497,Other products,Self-defence,Explosives,'One Glock 17'
rxhind,0.081414,,Drugs,Pharmacy,'Tramadol 50mg x 1000 pills - Offer 20% extra'
dreamdoc,0.068414,Other products,Services,Money,'Super Best Quality counterfeit Notes 40x$50= $2000 Promotion!!'
deepstatus,0.007724,Drugs,Stimulants,Cocaine,'1g  Colombian Cocaine 90% ♛ Premium Quality'
mushroomgirl,0.007523,Drugs,Psychedelics,Mushrooms,'New Seller Special!! 1/2 Ounce (15 Grams) Shrooms $65'
sspaceagent,0.000181,,Other products,Digital items,'UFC Premium ACC (Lifetime Warranty)'
fakeid,0.107179,Drugs,Empathogens,MDMA,'Dutch passport'
dreamdoc,0.130374,Other products,Services,Money,'Super Best Quality counterfeit Notes 100x$50= $5000 Promotion!!'
eztkapdel,0.005129,Drugs,Pharmacy,Benzos,'Unopened box ox Xanax 0.5 mg 100piece 50mg total'
sultanofdrugs,0.00284,Drugs,Cannabis,Weed,'2 g BIO Super Lemon Haze - Grade AAA+'
qzfwrty,0.10434,Other products,Services,Fake IDs,'BUY  Passport ID Cards Drivers / MMJ License BIRTH CERTIFICATE '
theshop,0.000208,Other products,Digital items,Erotica,'★ eWhoring Pack (THE CHEAPEST!) ★'
bodega,0.021871,Drugs,Stimulants,Metamphetamine,'14 gram Meth Crystal Meth'
holloboss,0.026167,Other products,Services,Money,'Quality Dollar Notes 10* $100=1000'
ravegoddess,0.070651,Drugs,Empathogens,MDMA,'50 grams of pure Dutch MDMA'
pharmroids,0.008455,Other products,Body building,Other injectables,'Venaject | Stanozolol | 10ml vial (100 mg/ml) - Thaiger'
smart666tiger,0.000898,Other products,Digital items,Erotica,'DEFINITIVE HERPES CURE'
theshop,0.000312,,Other products,Digital items,'♕ DRUG GUIDES MEGAPACK ♕'
harrispowell,0.005224,,Drugs,Pharmacy,'Copy of Buy Actavis Promethazine Codeine Cough Syrup 16oz'
holloboss,0.026167,Other products,Services,Money,' Quality Dollar Notes 10* $100=1000'
viking_king,0.005307,Drugs,Cannabis,Hash,'★ 2.5G ★ LYS POLLEN HASJ ★ MYK ★ TOPP KVALITET ★ GRATIS FRAKT ★'
theshop,0.000051,,Other products,Digital items,'♕ The Men's Fitness Exercise Bible ♕'
bathramme,0.009219,Drugs,Pharmacy,Benzos,'RIVOTRIL CLONAZEPAM 2mg 100 pieces by ROCHE'
theanchor,0.005163,Drugs,Cannabis,Hash,'5gm MALANA HASH SALE SALE SALE'
orangeone,0.0,Drugs,Cannabis,Hash,'FREE SHIPPING-1 g. of CHEWING HASH  Quality-'
sons-of-anarchi,0.004773,Drugs,Cannabis,Weed,'5g+1g free kritical kush indoor hidroponic--high thc---'
joseph-barboza,0.000968,Drugs,Empathogens,MDMA,'★ 0.5 gram MDMA Crystals (Molly) 84% '
moneylord12,0.00981,,Drugs,Cannabis,'10g  Dutch Passion's  Ultimate  | Free UK Shipping AND FINLAND '
superieure,0.006926,Drugs,Opiates,Heroin,'1g Afghan Heroin #3  AAA-Quali rocksonly! PROMO-Preis'
idealpills,0.062626,Drugs,Pharmacy,Benzos,'550x Valium 10 MG Pills (Loose)'
ksanori,0.005006,Drugs,Opiates,Oxycodone,'OxyContin 40mg 1kpl *Suomituote*'
cerberus,0.014581,Other products,Classifieds,Replicas,'Canada Goose Green M'
europa-drugs,0.006667,Drugs,Empathogens,Ecstasy,'10 x XTC MDMA 220mg Domino Pills'
faceless,0.001975,Drugs,Pharmacy,Erectile dysfunction,'4x Sildenafil Orion 50mg'
drugs-crew,0.016306,Drugs,Empathogens,Ecstasy,'25 x XTC PEACE LOVE ROCK &amp; ROLL 225mg'
pachoherrera,0.001807,Drugs,Dissociatives,Ketamine,' 0.5G KETAMINE POWDER'
