'/viking_king',0.014617,'Drugs','Stimulants','Cocaine','★ 1G ★ EXTREME COCAINE ★ GRATIS FRAKT &amp; DECOY!'
'/smart666tiger',0.00347,'Other products','Services','Money','BIG CARDING TUTORIAL + FREE HACKED CREDIT CARD  2017'
'/sons-of-anarchi',0.274762,'Drugs','Empathogens','MDMA','3000 pills 50% mdma 50% speed'
'/wendy',0.001044,'Other products','Digital items','Other digital','Zuzinka.com [PORN LIFETIME ACCOUNT]'
'/lucyskydiam0nds',0.018598,'Drugs','Empathogens','Ecstasy','20g Dutch MDMA - 84% Purity'
'/herboriste',0.053705,'Other products','Services','Fake IDs','Carte Grise [ Fake - French ]'
'/tokeys_fire',0.005132,'Drugs','Cannabis','Weed','7 grams Fruity Pebbles top shelf'
'/theshop',0.001043,'Other products','Digital items','Ebooks','★ ♕ TheShop's MEGAPACK ♕ ★ '
'/irapez',0.006474,'Drugs','Stimulants','Amphetamine','Amphetamin Paste 73% UNCUT! - 10g'
'/uniqueuk2',0.004703,'Drugs','Depressants','GHB / GBL','7g PURE GHB solidified for perfect dose 99.99%'
'/shamannaut',0.002963,'Drugs','Cannabis','Concentrates','Girl Scout Forum Cut Crumble Wax 1G'
'/appleinc',0.012526,'','Other products','Services','5 x $100 DOLLAR COUNTERFEIT, STRIP, PASS PEN TEST'
'/amsterdamtouk',0.005291,'Drugs','Empathogens','Ecstasy','10 Domino XTC Pill 220mg Dutch Imported NDD'
'/homeofdrugs',0.034465,'Drugs','Stimulants','Cocaine','3,5 gr uncut Cocaine flakes'
'/balr',0.024796,'Drugs','Empathogens','MDMA','25 Grams MDMA 82% '
'/theshop',0.000208,'Other products','Digital items','Ebooks','♕ MOBILE SUCCESS || EARN $30+ DAILY ♕'
'/wooody',0.000886,'Other products','Digital items','Erotica','Brazzers.com - [LIFETIME PORN PREMIUM ACCOUNT]'
'/shrooms',0.000961,'Drugs','Pharmacy','Benzos','Xanax Pfizer XAnAX 4mg Bar $5'
'/canadianpharmacy',0.02121,'','','','[US-US]Xanax Bars2mg (DOUBLE DOSED)Pfizer-100 bars $185.00'
'/sons-of-anarchi',0.00129,'','Other products','Cannabis growing','5 seeds(rosenthal x LA x rosenthal) FEMINIZEED 100% free shiping'
